"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","Operational"
"29","127.78412708925507","107.0999030110834","0.00830078125","0.0087890625","0.0078125","1560","0.00028927550133762915","32","0.00028927550133762915","0","0.00028927550133762915","0.00028927550133762915","36:0.0026336390892962303;28:0.0036696745663972463;30:0.004587526397842989","36:68;28:116;30:68","36:0.0028262449802859413;28:0.00714988794112531;30:0.008225860695959042","Yes"
"30","110.23938550604807","119.05825431394128","0.010986328125","0.01904296875","0.0029296875","1560","0.0006728331915674886","32","0.0006728331915674886","0","0.0006728331915674886","0.0006728331915674886","31:0.0035855281209838663;29:0.004587526397842989","31:68;29:68","31:0.0072104918443457455;29:0.008225860695959042","Yes"
"31","233.5159955472545","242.52176593508955","0.036376953125","0.03076171875","0.0419921875","1560","0.0001261461925979166","32","0.0001261461925979166","0","0.0001261461925979166","0.0001261461925979166","30:0.0035855281209838663;32:0.003027027130846599;18:0.01454756043549274","30:68;32:68;18:68","30:0.0072104918443457455;32:0.007249977505105698;18:0.010998541147771296","Yes"
"32","82.04118244763202","78.17870533023415","0.0146484375","0.0234375","0.005859375","1560","0.0003976664124185685","32","0.0003976664124185685","0","0.0003976664124185685","0.0003976664124185685","31:0.003027027130846599;33:0.04929855087362933","31:68;33:68","31:0.007249977505105698","Yes"
"33","199.33497902146368","84.67180738045131","0.01904296875","0.02490234375","0.01318359375","1560","0.0005798000030675679","32","0.0005798000030675679","0","0.0005798000030675679","0.0005798000030675679","37:0.0033624592428256606;32:0.04929855087362933","37:88;32:68","37:0.0040286666240703095","Yes"
"34","238.1526149378138","119.22043443906215","0.031005859375","0.02197265625","0.0400390625","1560","0.0002131538451773964","32","0.0002131538451773964","0","0.0002131538451773964","0.0002131538451773964","21:0.030618560113988585;40:0.0017714069296256574","21:68;40:96","40:0.0034623767195070543","Yes"
"35","191.90604367831753","122.0587273900292","0.015625","0.01318359375","0.01806640625","1560","0.0005059122766406659","32","0.0005059122766406659","0","0.0005059122766406659","0.0005059122766406659","44:0.0036857535322629142;25:0.0043448104919725505","44:108;25:108","44:0.004173728365343604;25:0.005136067556184565","Yes"
"36","78.64055321004707","109.53423186511137","0.005859375","0.0078125","0.00390625","1560","0.00044712087027763724","32","0.00044712087027763724","0","0.00044712087027763724","0.00044712087027763724","48:0.002391994738566494;29:0.0026336390892962303","48:68;29:68","48:0.004841528567657127;29:0.0028262449802859413","Yes"
"37","193.8987727639527","104.80390719094932","0.004150390625","0.0068359375","0.00146484375","1560","0.00036772679659124037","32","0.00036772679659124037","0","0.00036772679659124037","0.00036772679659124037","33:0.0033624592428256606;52:0.0030428656566325873","33:88;52:104","33:0.0040286666240703095;52:0.0026935807012745394","Yes"
"38","184.47446682788143","154.75776749822458","0.059326171875","0.06103515625","0.0576171875","1560","0.0003870584102656613","32","0.0003870584102656613","0","0.0003870584102656613","0.0003870584102656613","53:0.02537943398839365;39:0.002036081409282714","53:68;39:68","53:0.03843986694382637;39:0.003638465347046038","Yes"
